Key,Description,Standard,fr
SAY.Flowchart.650.Mimi,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead.","Le pendentif de mon téléphone ! Domo l'a fait pour moi. Ohh, c'est parti pour une petite explication !{wc} Bon, alors-- le nombre de perles représente le nombre de mois depuis qu'on s'est mises ensemble. 23 mois !!! Presque 2 ans... si excitant !{wc}Le M est un peu une blague entre nous. C'est mon initial, mais quand j'ai rencontré Domo pour la première fois, j'ai entendu Momo quand elle m'a dit son prénom !{wc} Je l'ai trouvé super mignonne et j'étais en mode, oh c'est incroyable on a même des pronoms qui vont ensemble ?? Je l'ai appelé Momo pendant des mois, et elle ne m'a pas corrigé une seule fois ! Tu te rends compte ?{wc} Mimi et Momo, le couple parfait...{wc} Oh, et le lapin blanc et le chat noir sont nous aussi ! Je veux dire, Domo a le même pendentif que moi, donc évidemment que tout nous représente.{wc} Bref, je pense qu’on est TELLEMENT l’archétype du lapin blanc et du chat noir ! Ou du golden retriever et du chat noir, mais les lapins, c’est mieux, parce que c’est l’animal préféré de Domo – et moi, je suis la préférée de Domo !{wc} La dernière perle est une fleur de volubilis. Je l'ai mise la semaine dernière. Domo a une perle de chrysanthème jaune à la place."
SAY.Flowchart.157.,,"{i}I get another call as soon as I enter my little shop. It's the same customer from yesterday, and I pick up to see if they have any more instructions for me.","{i}Je reçois un autre appel alors que j'entre dans mon petit atelier. C'est la cliente d'hier, et je décroche pour voir si elle a de nouvelles instructions à me donner."
SAY.Flowchart.937.Mimi,,"Hello, you’ve reached Dermimi’s!","Bonjour, vous êtes bien cher Dermimi !"
SAY.Flowchart.158.Customer,,Mimi. How is the project going?,Mimi. Comment avance le projet ?
SAY.Flowchart.159.Mimi,,"Pretty well! At my current pace, I should be done by tomorrow!","Plutôt bien ! En continuant sur cette lancée, je devrais avoir terminé pour demain !"
SAY.Flowchart.160.Customer,,"Very good.{wc}Just remember, this project is important. {wi}More important than anything you've ever done before.","Très bien.{wc} Juste souviens-toi, ce projet est important. {wi} Plus important que tout ce que tu as pu réaliser jusqu'à présent."
SAY.Flowchart.165.Mimi,,Oh... what do you mean?,Oh... que vous voulez dire par là?
SAY.Flowchart.162.Customer,,"You see your art as a way of bringing the dead back to life? Well, that's how I see it too. {wi}That's what I mean.","Tu vois ton art comme une façon de ramener les morts à la vie ? Eh bien, c'est aussi ma vision des choses. {wi}Voilà tout."
SAY.Flowchart.154.,,{i}It’s satisfying to hear someone else share my opinion after Domo had disagreed last night.,{i}Ça fait plaisir d'entendre quelqu'un d'autre partager mon avis après ce que Domo a dit hier soir.
SAY.Flowchart.166.Customer,,This has to be perfect. You have to make it perfect.,Il faut que ce soit parfait. Tu dois le rendre parfait.
SAY.Flowchart.167.Mimi,,"Oh, of course! I'll be certain to bring your animals to life as best I can!","Oh, évidemment ! Je ferais de mon mieux pour redonner vie à vos animaux !"
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
CHARACTER.Customer,,Costumer,Cliente
