Key,Description,Standard,fr
SAY.Flowchart.650.Mimi,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead.","Le pendentif de mon téléphone ! Domo l'a fait pour moi. Ohh, c'est parti pour une petite explication !{wc} Bon, alors-- le nombre de perles représente le nombre de mois depuis qu'on s'est mises ensemble. 23 mois !!! Presque 2 ans... si excitant !{wc}Le M est un peu une blague entre nous. C'est mon initial, mais quand j'ai rencontré Domo pour la première fois, j'ai entendu Momo quand elle m'a dit son prénom !{wc} Je l'ai trouvé super mignonne et j'étais en mode, oh c'est incroyable on a même des pronoms qui vont ensemble ?? Je l'ai appelé Momo pendant des mois, et elle ne m'a pas corrigé une seule fois ! Tu te rends compte ?{wc} Mimi et Momo, le couple parfait...{wc} Oh, et le lapin blanc et le chat noir sont nous aussi ! Je veux dire, Domo a le même pendentif que moi, donc évidemment que tout nous représente.{wc} Bref, je pense qu’on est TELLEMENT l’archétype du lapin blanc et du chat noir ! Ou du golden retriever et du chat noir, mais les lapins, c’est mieux, parce que c’est l’animal préféré de Domo – et moi, je suis la préférée de Domo !{wc} La dernière perle est une fleur de volubilis. Je l'ai mise la semaine dernière. Domo a une perle de chrysanthème jaune à la place."
SAY.Flowchart.412.,,"{i}As if on cue, my customer calls me as soon as I sit before my desk. I almost miss the call because of my early morning lethargy.","{i}À peine assise à mon bureau, je reçois l’appel de ma cliente. Je manque presque de décrocher, encore engourdi par la fatigue de mon réveil."
SAY.Flowchart.413.Customer,,Mimi. Are you almost finished with the project?,Mimi. Est-ce que le projet est bientôt prêt ?
SAY.Flowchart.414.Mimi,,Yep! It'll be done today for sure!,Oui ! Il sera terminé aujourd'hui !
SAY.Flowchart.415.Customer,,"Good. You're so close to the end, when all of this will be worth it. {wi}Remember, it has to be perfect.","Bien. Tu es si proche de la fin, où tout cela en vaudra enfin la peine. {wi}Rappelles-toi, ça doit être parfait."
SAY.Flowchart.417.,,"{i}It might just be the lingering sleepiness, but I start to doubt whether or not I'll be able to finish the project as perfectly as the customer wants -- or maybe whether or not I even should.","{i}C’est peut-être juste la fatigue qui s'accumule, mais je commence à douter de ma capacité à terminer ce projet aussi parfaitement que ma cliente le souhaite -- ou même de si je devrais vraiment le faire."
SAY.Flowchart.425.Mimi,,"Hmph, maybe Domo is rubbing off on me...","Hmph, peut-être que Domo commence à détendre sur moi..."
SAY.Flowchart.426.Customer,,"Domo, your little lover...","Domo, ta petite amoureuse..."
SAY.Flowchart.427.Mimi,,Wait -- you know about her?!,Attendez-- vous la connaissez ?!
SAY.Flowchart.429.Mimi,,Huh. I guess I must've mentioned her to you before! I totally forgot if I did!,Ah bon. J’ai dû vous parler d’elle à un moment ! J’ai complètement oublié si je l’ai fait !
SAY.Flowchart.428.Customer,,Are the two of you having disagreements over this project?,"Est-ce que vous avez des désaccords à propos de ce projet, toutes les deux ?"
SAY.Flowchart.432.Mimi,,"Haha, I mean, a little bit! She thinks I've been working too much on it. But what happy couple doesn’t get in little scuffles every so often? It’s normal and completely healthy!","Haha, eh bien, un petit peu ! Elle pense que je travaille trop dessus. Mais quel couple heureux ne se dispute pas de temps en temps ? C'est normal et complétement sain !"
SAY.Flowchart.433.Customer,,"Just remember, you are doing the right thing. Your craft, this art of taxidermy, is too important.{wc}You bring the dead back to life by imitating their past vivacity and allowing them to eternally remain in that prime state.{wc}What you do is beautiful, and it’s necessary. In fact, that’s why you must finish this project.{wc}It will fix everything -- and solve all your problems with your ungrateful girlfriend, too. This is the final step. You must take it.","Souviens-toi simplement que tu fais ce qu’il faut. Ton savoir-faire, cet art de la taxidermie, est très important.{wc}Tu redonnes vie aux morts en imitant leur vivacité passée et en leur permettant de demeurer éternellement dans un éclat parfait.{wc}Ce que tu fais est beau, et c’est nécessaire. En fait, c’est précisément pour cela que tu dois terminer ce projet.{wc}Il réparera tout -- y compris tes problèmes avec ta copine ingrate. C’est la dernière étape. Tu dois l’accomplir."
SAY.Flowchart.434.,,{i}I blink a few times in confusion as I wait for the customer's words to absorb into my tired brain.,"{i}Je cligne des yeux plusieurs fois, confus, en attendant que les mots de la cliente s’imprègnent dans mon cerveau fatigué."
SAY.Flowchart.435.Mimi,,You’re right -- I can’t give up now!{wc}I promise it'll be perfect! ,Vous avez raison -- je ne peux pas abandonner maintenant !{wc}Je vous promets que ce sera parfait ! 
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
CHARACTER.Customer,,Customer,Cliente
