Key,Description,Standard,fr
SAY.Flowchart.487.,,"{i}I return to our house on the second floor to find Domo waiting for me by the door, glaring daggers at me.","{i}Je remonte au deuxième étage et trouve Domo qui m’attend près de la porte, me lançant un regard noir."
SAY.Flowchart.489.Domo,,"Mimi, you can't keep coming back this late. It's not fair.","Mimi, tu ne peux pas continuer à rentrer aussi tard. Ce n'est pas juste."
SAY.Flowchart.492.Mimi,,I needed to finish my project. I already told you about this! What's not fair is how you keep nagging me about it.,J'avais besoin de finir mon projet. Je te l'ai déjà dit ! Ce qui n'est pas juste c'est que tu me fasses constamment des remarques dessus.
SAY.Flowchart.493.Domo,,I'm just so worried about you... This project has consumed your life! You barely eat or sleep or spend time with me at all anymore.,"Je m'inquiète juste tellement pour toi... Ce projet a rongé ta vie ! Tu ne fais presque plus rien avec moi, que ce soit manger, dormir ou même me parler."
SAY.Flowchart.494.Mimi,,"You're being so dramatic! It's not a big deal. And I'm done with the big project now, so everything should get better now! You'll see.","Tu es bien trop dramatique ! Arrête d'exagérer. Et en plus, j'en ai terminé avec ce grand projet maintenant, donc tout devrait s'arranger ! Tu verras."
SAY.Flowchart.495.Domo,,I don't want to see it! I've already told you that!,Je ne veux pas le voir ! Tu le sais très bien !
SAY.Flowchart.496.,,"{i}I'm confused why Domo is getting so passionate today. She usually would have backed off by now; she never yells at me like this. My gut twists with anger at her behavior, but I try to push it down.","{i}Je ne comprends pas pourquoi Domo est aussi passionnée aujourd’hui. D’habitude, elle aurait déjà lâché l’affaire ; elle ne me crie jamais dessus comme ça. Mon estomac se noue de colère face à son comportement, mais j’essaie de la contenir."
SAY.Flowchart.504.Mimi,,I'm not having this conversation with you right now.,Je ne veux pas avoir cette conversion avec toi maintenant.
SAY.Flowchart.505.Domo,,Let's just... do something else.,Faisons... quelque chose d'autre.
SAY.Flowchart.506.Mimi,,Sure! Let's watch more of Mailer Soon! Our favoritest TV show!!,Oui ! On peut regarder la suite de Mailer Soon ! Notre émission préférée !!
SAY.Flowchart.508.,,"{i}Bitterness sours Domo's expression, and she crosses her arms over her chest.","{i}L'expression de Domo s'assombrit, et elle croise ses bras sur sa poitrine."
SAY.Flowchart.510.Domo,,"That's not what I meant. I've already told you, I don't want to watch that show.","C'est pas ce que je voulais dire. Je ne veux pas regarder cette émission, ."
SAY.Flowchart.511.Mimi,,Why not?!,Pourquoi pas ?!
SAY.Flowchart.513.Domo,,It makes me uncomfortable!,Elle me met mal à l'aise !
SAY.Flowchart.514.Mimi,,What? Why does everything make you uncomfortable? You're acting like such an immature baby! Grow up!,Quoi ? Pourquoi est-ce que tout te rend mal à l'aise ? Arrêtes de faire la gamine et grandie un peu !
SAY.Flowchart.515.Domo,,And you're acting like a heartless partner...,Et toi arrêtes d'être sans cœur...
SAY.Flowchart.516.,,"{i}She remains adamant in her refusal. But her words stir something inside me, and I feel conflicted over what to do.","{i}Elle reste ferme sur son refus. Mais ses mots réveillent quelque chose en moi et je ne sais pas quoi faire."
MENU.Flowchart.497,,Don't watch the TV show,Ne pas regarder l'émission
MENU.Flowchart.498,,Watch the TV show,Regarder l'émission
SAY.Flowchart.521.Mimi,,"Argh, fine! We don't have to watch it!","Pff, d'accord ! On va pas la regarder !"
SAY.Flowchart.520.Domo,,...Thank you.,...Merci.
SAY.Flowchart.554.Mimi,,"I still don't understand why it's that big of a deal to you, though. Can't you just do this one little thing for me?","Mais je ne comprends quand même pas pourquoi c'est si difficile pour toi. Tu pourrais au moins faire un petit geste pour moi."
SAY.Flowchart.525.Domo,,"One little thing...? I do so much for you, Mimi. And you rarely ever appreciate it.","Un petit geste..? Je fais tellement de choses pour toi, Mimi. Et tu les remarques presque jamais."
SAY.Flowchart.526.,,"{i}I scoff incredulously, waiting for the punchline that never comes. ","{i}Je lâche un petit rire, incrédule, en attendant la chute qui ne vient pas. "
SAY.Flowchart.523.Mimi,,"Oh, you're serious? Haha, that's funny!","Oh, tu es séreuse ? Haha, c'est drôle !"
SAY.Flowchart.547.Domo,,"Yes, I'm serious...","Oui, je suis sérieuse..."
SAY.Flowchart.579.Domo,,"I do a lot for you. I sit around here all day and take care of you and the house, and I wait for you. {wi}Because you're my entire life, Mimi!","Je fais beaucoup pour toi. Je reste ici toute la journée à m’occuper de toi et de la maison, et je t’attends. {wi}Parce que tu es le centre de mon monde, Mimi !"
SAY.Flowchart.557.Domo,,"But you care more about those stupid, dead animals than you ever did about me...","Mais tes stupides animaux morts sont bien plus important à tes yeux que je ne l'ai jamais été..."
SAY.Flowchart.558.Mimi,,"Oh, come on, you're not still talking about the taxidermy, are you?","Oh, allez, T'es encore là-dessus ?"
SAY.Flowchart.559.Domo,,"Yes, I am... It's disturbing, how easily you handle it all.","Oui... C'est inquiètant de voir à quel point tu sembles y prendre goût."
SAY.Flowchart.560.Mimi,,"I never said it was easy! It's very hard -- but that's what makes it worth it. Because I'm so good at it, even though it's so difficult!","Je n'ai jamais dit que j'aimais ça ! C'est pas facile -- mais c'est ce qui rend ce travail intéréssant. Parce que j'y suis forte, même si c'est compliqué !"
