Key,Description,Standard
SAY.Flowchart.650.Mimi,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead."
SAY.Flowchart.157.,,"{i}I get another call as soon as I enter my little shop. It's the same customer from yesterday, and I pick up to see if they have any more instructions for me."
SAY.Flowchart.937.Mimi,,"Hello, you’ve reached Dermimi’s!"
SAY.Flowchart.158.Customer,,Mimi. How is the project going?
SAY.Flowchart.159.Mimi,,"Pretty well! At my current pace, I should be done by tomorrow!"
SAY.Flowchart.160.Customer,,"Very good.{wc}Just remember, this project is important. {wi}More important than anything you've ever done before."
SAY.Flowchart.165.Mimi,,Oh... what do you mean?
SAY.Flowchart.162.Customer,,"You see your art as a way of bringing the dead back to life? Well, that's how I see it too. {wi}That's what I mean."
SAY.Flowchart.154.,,{i}It’s satisfying to hear someone else share my opinion after Domo had disagreed last night.
SAY.Flowchart.166.Customer,,This has to be perfect. You have to make it perfect.
SAY.Flowchart.167.Mimi,,"Oh, of course! I'll be certain to bring your animals to life as best I can!"
CHARACTER.Domo,,Domo
CHARACTER.Mimi,,Mimi
CHARACTER.Customer,,Customer
